Image,R,G,B,His_AVG,His_STD,Label
44097111130.png,184,161,133,112,89,101
44097111130.png,187,165,137,136,84,101
44097111130.png,198,176,148,120,66,101
44097111130.png,194,172,143,131,73,101
44097111130.png,192,168,141,150,81,101
44097111130.png,190,168,139,146,85,101
44097111130.png,196,174,146,138,90,101
44097111130.png,202,179,151,120,86,101
44097111130.png,185,162,134,125,83,101
44097111130.png,184,161,133,112,89,101
44097111130.png,187,165,137,136,84,101
44097111130.png,198,176,148,120,66,101
44097111130.png,194,172,143,131,73,101
44097111130.png,192,168,141,150,81,101
44097111130.png,190,168,139,146,85,101
44097111130.png,196,174,146,138,90,101
44097111130.png,202,179,151,120,86,101
44097111130.png,185,162,134,125,83,101
44531697118.png,121,114,107,88,77,101
44531697118.png,125,118,111,102,77,101
44531697118.png,133,126,118,120,75,101
44531697118.png,126,118,111,133,77,101
44531697118.png,127,119,112,146,78,101
44531697118.png,122,114,107,115,73,101
44531697118.png,132,125,117,126,86,101
44531697118.png,130,123,115,117,77,101
44531697118.png,134,127,119,103,79,101
44531697118.png,121,114,107,88,77,101
44531697118.png,125,118,111,102,77,101
44531697118.png,133,126,118,120,76,101
44531697118.png,126,118,111,133,77,101
44531697118.png,127,119,112,146,78,101
44531697118.png,122,114,107,115,73,101
44531697118.png,132,125,117,126,86,101
44531697118.png,130,123,115,117,77,101
44531697118.png,134,127,119,103,79,101
506476107116.png,92,83,75,53,55,101
506476107116.png,96,86,79,43,54,101
506476107116.png,89,80,73,42,52,101
506476107116.png,90,80,72,54,58,101
506476107116.png,90,81,73,55,63,101
506476107116.png,98,88,81,64,66,101
506476107116.png,91,82,75,59,58,101
506476107116.png,89,79,72,57,54,101
506476107116.png,89,80,72,50,52,101
506476107116.png,92,83,75,53,55,101
506476107116.png,96,86,79,43,54,101
506476107116.png,89,80,73,42,52,101
506476107116.png,90,80,72,54,58,101
506476107116.png,90,81,73,55,63,101
506476107116.png,98,88,81,64,66,101
506476107116.png,91,82,75,59,58,101
506476107116.png,89,79,72,57,54,101
506476107116.png,89,80,72,50,52,101
518484102112.png,99,90,82,52,56,101
518484102112.png,99,91,82,42,52,101
518484102112.png,94,86,77,48,51,101
518484102112.png,95,86,78,54,56,101
518484102112.png,94,86,77,56,64,101
518484102112.png,103,94,86,68,65,101
518484102112.png,95,86,78,60,55,101
518484102112.png,94,85,77,63,56,101
518484102112.png,95,86,78,53,53,101
518484102112.png,99,90,82,52,56,101
518484102112.png,99,91,82,42,52,101
518484102112.png,94,86,77,48,51,101
518484102112.png,95,86,78,54,56,101
518484102112.png,94,86,77,56,64,101
518484102112.png,103,94,86,68,65,101
518484102112.png,95,86,78,60,55,101
518484102112.png,94,85,77,63,56,101
518484102112.png,95,86,78,53,53,101
519313107118.png,130,121,113,94,77,101
519313107118.png,138,129,121,89,63,101
519313107118.png,148,139,131,116,81,101
519313107118.png,146,137,129,119,77,101
519313107118.png,147,138,130,136,81,101
519313107118.png,138,129,121,152,85,101
519313107118.png,142,133,125,121,84,101
519313107118.png,148,139,131,95,75,101
519313107118.png,152,144,135,91,72,101
519313107118.png,130,121,113,94,77,101
519313107118.png,138,129,121,89,63,101
519313107118.png,148,139,131,117,81,101
519313107118.png,146,137,129,119,77,101
519313107118.png,147,138,130,136,81,101
519313107118.png,138,129,121,152,85,101
519313107118.png,142,133,125,121,84,101
519313107118.png,148,139,131,95,75,101
519313107118.png,152,144,135,91,72,101
519462106118.png,92,85,77,48,61,101
519462106118.png,88,82,74,39,55,101
519462106118.png,87,80,72,47,51,101
519462106118.png,87,80,72,48,54,101
519462106118.png,89,82,74,54,60,101
519462106118.png,95,88,80,61,57,101
519462106118.png,87,80,73,63,58,101
519462106118.png,87,80,72,63,57,101
519462106118.png,88,81,73,51,51,101
519462106118.png,92,85,77,48,61,101
519462106118.png,88,82,74,39,55,101
519462106118.png,87,80,72,47,51,101
519462106118.png,87,80,72,48,54,101
519462106118.png,89,82,74,54,60,101
519462106118.png,95,88,80,61,57,101
519462106118.png,87,80,73,63,58,101
519462106118.png,87,80,72,63,57,101
519462106118.png,88,81,73,51,51,101
52149799113.png,98,90,80,58,52,101
52149799113.png,101,93,83,43,52,101
52149799113.png,99,90,81,49,52,101
52149799113.png,98,90,80,56,59,101
52149799113.png,96,88,78,55,64,101
52149799113.png,104,95,85,71,66,101
52149799113.png,99,91,81,76,58,101
52149799113.png,99,90,80,69,49,101
52149799113.png,97,89,79,58,59,101
52149799113.png,98,90,80,58,52,101
52149799113.png,101,93,83,43,52,101
52149799113.png,99,90,81,49,52,101
52149799113.png,98,90,80,56,59,101
52149799113.png,96,88,78,55,64,101
52149799113.png,104,95,85,71,66,101
52149799113.png,99,91,81,76,58,101
52149799113.png,99,90,80,69,49,101
52149799113.png,97,89,79,58,59,101
52194109133.png,161,145,125,115,90,101
52194109133.png,150,134,113,92,77,101
52194109133.png,158,143,123,104,79,101
52194109133.png,176,161,140,135,92,101
52194109133.png,171,156,135,131,87,101
52194109133.png,150,135,114,135,91,101
52194109133.png,152,136,116,108,84,101
52194109133.png,173,159,138,108,79,101
52194109133.png,179,164,143,100,80,101
52194109133.png,161,145,125,115,90,101
52194109133.png,150,134,113,92,77,101
52194109133.png,158,143,123,104,79,101
52194109133.png,176,161,140,135,92,101
52194109133.png,171,156,135,131,87,101
52194109133.png,150,135,114,135,91,101
52194109133.png,152,136,116,108,84,101
52194109133.png,173,159,138,108,79,101
52194109133.png,179,164,143,100,80,101
528116108128.png,206,188,164,130,82,101
528116108128.png,185,165,140,113,84,101
528116108128.png,197,177,153,122,79,101
528116108128.png,197,178,153,138,74,101
528116108128.png,205,184,160,142,78,101
528116108128.png,190,171,146,141,84,101
528116108128.png,192,173,148,141,77,101
528116108128.png,195,175,151,109,77,101
528116108128.png,201,181,156,112,81,101
528116108128.png,206,188,164,130,82,101
528116108128.png,185,165,140,113,84,101
528116108128.png,197,177,153,122,79,101
528116108128.png,197,178,153,138,74,101
528116108128.png,205,184,160,142,77,101
528116108128.png,190,171,146,141,84,101
528116108128.png,192,173,148,141,77,101
528116108128.png,195,175,151,109,77,101
528116108128.png,201,181,156,112,81,101
53296111128.png,178,158,133,124,89,101
53296111128.png,206,185,160,113,88,101
53296111128.png,194,174,150,124,78,101
53296111128.png,192,173,148,157,79,101
53296111128.png,171,151,126,128,74,101
53296111128.png,195,174,149,147,81,101
53296111128.png,201,181,156,139,76,101
53296111128.png,196,176,152,121,86,101
53296111128.png,180,160,136,111,94,101
53296111128.png,178,158,133,124,89,101
53296111128.png,206,185,160,112,88,101
53296111128.png,194,174,150,124,78,101
53296111128.png,192,173,148,157,79,101
53296111128.png,171,151,126,128,74,101
53296111128.png,195,174,149,147,81,101
53296111128.png,201,181,156,139,76,101
53296111128.png,196,176,152,121,86,101
53296111128.png,180,160,136,111,94,101
65852999111.png,105,98,88,60,58,101
65852999111.png,105,97,89,57,51,101
65852999111.png,102,95,85,61,47,101
65852999111.png,101,93,84,78,60,101
65852999111.png,101,94,85,82,61,101
65852999111.png,108,100,91,75,62,101
65852999111.png,106,98,89,62,54,101
65852999111.png,101,94,85,55,50,101
65852999111.png,99,92,82,52,50,101
65852999111.png,105,98,88,60,58,101
65852999111.png,105,97,89,57,51,101
65852999111.png,102,95,85,61,47,101
65852999111.png,101,93,84,78,60,101
65852999111.png,101,94,85,82,61,101
65852999111.png,108,100,91,75,62,101
65852999111.png,106,98,89,62,54,101
65852999111.png,101,94,85,55,50,101
65852999111.png,99,92,82,52,50,101
65915597115.png,235,227,207,133,91,101
65915597115.png,234,226,206,120,78,101
65915597115.png,229,220,201,133,82,101
65915597115.png,231,222,203,142,74,101
65915597115.png,225,217,197,143,81,101
65915597115.png,234,226,205,135,81,101
65915597115.png,229,220,200,128,89,101
65915597115.png,229,221,201,109,79,101
65915597115.png,229,220,200,123,81,101
65915597115.png,235,227,207,133,91,101
65915597115.png,234,226,206,120,78,101
65915597115.png,229,220,201,134,82,101
65915597115.png,231,222,203,142,74,101
65915597115.png,225,217,197,143,81,101
65915597115.png,234,226,205,135,81,101
65915597115.png,229,220,200,128,89,101
65915597115.png,229,221,201,109,79,101
65915597115.png,229,220,200,123,81,101
66152598112.png,104,97,87,66,59,101
66152598112.png,109,101,92,59,51,101
66152598112.png,108,101,91,67,47,101
66152598112.png,103,96,86,79,60,101
66152598112.png,104,97,87,97,62,101
66152598112.png,110,102,93,78,61,101
66152598112.png,108,100,91,65,54,101
66152598112.png,108,100,91,51,45,101
66152598112.png,102,95,85,49,49,101
66152598112.png,104,97,87,66,59,101
66152598112.png,109,101,92,59,51,101
66152598112.png,108,101,91,67,47,101
66152598112.png,103,96,86,79,60,101
66152598112.png,104,97,87,97,62,101
66152598112.png,110,102,93,78,61,101
66152598112.png,108,100,91,65,54,101
66152598112.png,108,100,91,51,45,101
66152598112.png,102,95,85,49,49,101
66221595102.png,228,222,204,128,85,101
66221595102.png,239,233,215,123,74,101
66221595102.png,232,226,208,114,78,101
66221595102.png,235,228,210,133,73,101
66221595102.png,226,219,201,144,68,101
66221595102.png,234,228,210,144,83,101
66221595102.png,233,227,209,126,85,101
66221595102.png,234,228,210,105,81,101
66221595102.png,226,219,201,109,77,101
